,CTL1,CTL12,CTL13,HIV1_Bal1,HIV1_Bal2,HIV1_Bal3,HIV1.LTA1,HIV1.LTA2,HIV1.LTA3
TSPAN6,4477,3550,1542,2786,2793,1636,2984,3271,1372
TNMD,0,0,0,0,0,4,0,0,1
DPM1,11526,9651,7427,6787,7717,7886,8163,6765,5884
SCYL3,910,665,306,455,654,420,684,739,330
C1orf112,2922,2349,1091,1846,1735,1223,2227,2281,1128
FGR,4,0,0,1,0,2,0,2,2
CFH,493,213,0,197,117,0,291,417,0
FUCA2,15882,13664,7912,9590,9535,8093,11423,10476,6287
GCLC,4339,4066,2428,2562,2874,2669,3116,3060,2189
NFYA,4312,3548,2959,2651,2544,3348,3049,2784,2716
STPG1,1417,1106,1271,786,827,1413,908,1041,972
NIPAL3,8063,6876,6407,4680,4719,7564,5636,6306,5624
LAS1L,7313,7032,4629,4713,4902,5170,5372,5784,4280
ENPP4,3645,3096,1163,2035,1904,1172,2470,2382,884
SEMA3F,321,333,216,191,253,249,306,376,270
CFTR,1,0,5,2,0,2,3,4,0
ANKIB1,16593,13629,12306,10486,10041,13752,11948,11706,10575
CYP51A1,965,1141,599,725,947,710,780,1143,682
KRIT1,2084,1788,1067,1184,1202,1262,1549,1398,1034
RAD52,1039,659,384,582,562,510,664,692,465
BAD,720,741,373,456,692,585,581,787,558
LAP3,11019,8933,4269,6584,6823,4777,7663,7510,4035
CD99,0,0,0,1,1,1,0,3,2
HS3ST1,1,0,0,0,0,0,0,0,0
AOC1,0,0,0,0,0,0,0,0,0
WNT16,1,6,4,0,1,1,1,8,0
HECW1,292,333,227,182,221,246,226,252,248
MAD1L1,61,59,40,45,42,55,47,49,36
LASP1,48565,47473,35485,29884,33735,39662,34645,32058,29026
SNX11,2752,2298,1373,1611,1621,1733,1802,2018,1389
TMEM176A,0,0,0,0,0,0,0,0,0
M6PR,19079,15089,8976,11577,11635,10402,13730,13774,8650
KLHL13,45,21,71,13,36,87,21,20,81
CYP26B1,916,1668,402,530,967,279,680,789,359
ICA1,1,0,0,0,0,0,0,0,0
DBNDD1,590,594,116,398,418,122,479,516,162
ALS2,8809,7395,8170,5244,5554,9052,6221,6324,7190
CASP10,1238,936,503,697,564,609,947,1022,598
CFLAR,4671,4480,5941,2854,3293,6410,3320,3637,3974
TFPI,9379,6524,2793,4903,4396,2940,6483,8573,4283
NDUFAF7,1231,1043,1190,773,770,1196,993,858,1139
