fromNode	toNode	weight	direction	fromAltName	toAltName
ARHGAP33	NSUN2	0.1946723	undirected	NA	NA
ARHGAP33	YPEL1	0.216908924	undirected	NA	NA
ARHGAP33	TARS1	0.195420686	undirected	NA	NA
ARHGAP33	MFSD1	0.177030732	undirected	NA	NA
ARHGAP33	EPRS1	0.152826507	undirected	NA	NA
ARHGAP33	ANGPTL2	0.160421754	undirected	NA	NA
ARHGAP33	ATRAID	0.160454643	undirected	NA	NA
ARHGAP33	METTL27	0.157798332	undirected	NA	NA
ARHGAP33	NMD3	0.209060982	undirected	NA	NA
ZNF195	STRAP	0.191293519	undirected	NA	NA
ZNF195	NSUN2	0.25399905	undirected	NA	NA
ZNF195	YPEL1	0.274729798	undirected	NA	NA
ZNF195	GARS1	0.179709425	undirected	NA	NA
ZNF195	CORO1C	0.157811914	undirected	NA	NA
ZNF195	TARS1	0.252242211	undirected	NA	NA
ZNF195	MYL12B	0.162209701	undirected	NA	NA
ZNF195	MFSD1	0.228578593	undirected	NA	NA
ZNF195	EPRS1	0.192634041	undirected	NA	NA
ZNF195	ANGPTL2	0.186752923	undirected	NA	NA
ZNF195	ATRAID	0.176359069	undirected	NA	NA
ZNF195	METTL27	0.193015333	undirected	NA	NA
ZNF195	TPP1	0.202856965	undirected	NA	NA
ZNF195	NMD3	0.254336967	undirected	NA	NA
PDK2	STRAP	0.369981458	undirected	NA	NA
PDK2	NSUN2	0.439337655	undirected	NA	NA
PDK2	IPO5	0.285945293	undirected	NA	NA
PDK2	YPEL1	0.34260338	undirected	NA	NA
PDK2	WDR91	0.17088016	undirected	NA	NA
PDK2	GARS1	0.279357197	undirected	NA	NA
PDK2	CORO1C	0.3617902	undirected	NA	NA
PDK2	BTN3A3	0.239339846	undirected	NA	NA
PDK2	TARS1	0.36953315	undirected	NA	NA
PDK2	MYL12B	0.342139241	undirected	NA	NA
PDK2	MFSD1	0.380804116	undirected	NA	NA
PDK2	ELL2	0.263331637	undirected	NA	NA
PDK2	C4BPB	0.156829967	undirected	NA	NA
PDK2	MMACHC	0.210409068	undirected	NA	NA
PDK2	PLAAT4	0.225304662	undirected	NA	NA
PDK2	PSAT1	0.285734663	undirected	NA	NA
PDK2	EPRS1	0.362399371	undirected	NA	NA
PDK2	ANGPTL2	0.265986019	undirected	NA	NA
PDK2	MYO7A	0.338747993	undirected	NA	NA
PDK2	ATRAID	0.192162112	undirected	NA	NA
PDK2	TPM1	0.216813332	undirected	NA	NA
PDK2	CDH11	0.153534895	undirected	NA	NA
PDK2	BCL2L11	0.257202264	undirected	NA	NA
PDK2	OTUD6B	0.189911597	undirected	NA	NA
PDK2	METTL27	0.274745517	undirected	NA	NA
PDK2	TPP1	0.415220022	undirected	NA	NA
PDK2	TPM4	0.303385867	undirected	NA	NA
PDK2	LTBP3	0.226818583	undirected	NA	NA
PDK2	NMD3	0.393389634	undirected	NA	NA
ELAC2	STRAP	0.177896268	undirected	NA	NA
ELAC2	NSUN2	0.251744027	undirected	NA	NA
ELAC2	YPEL1	0.25439984	undirected	NA	NA
ELAC2	GARS1	0.188892785	undirected	NA	NA
ELAC2	CORO1C	0.158404525	undirected	NA	NA
ELAC2	TARS1	0.236644071	undirected	NA	NA
ELAC2	MYL12B	0.15979378	undirected	NA	NA
ELAC2	MFSD1	0.235561158	undirected	NA	NA
ELAC2	EPRS1	0.190256763	undirected	NA	NA
ELAC2	ANGPTL2	0.198369777	undirected	NA	NA
ELAC2	ATRAID	0.188206044	undirected	NA	NA
ELAC2	METTL27	0.201197371	undirected	NA	NA
ELAC2	TPP1	0.194861105	undirected	NA	NA
ELAC2	NMD3	0.248009841	undirected	NA	NA
PROM1	IPO5	0.16303393	undirected	NA	NA
PROM1	YPEL1	0.15848335	undirected	NA	NA
PROM1	GARS1	0.229288924	undirected	NA	NA
PROM1	CORO1C	0.174311262	undirected	NA	NA
PROM1	TARS1	0.150014593	undirected	NA	NA
PROM1	MFSD1	0.183930124	undirected	NA	NA
PROM1	C4BPB	0.229878045	undirected	NA	NA
PROM1	MMACHC	0.156453865	undirected	NA	NA
PROM1	PLAAT4	0.215339871	undirected	NA	NA
PROM1	EPRS1	0.17460974	undirected	NA	NA
PROM1	ANGPTL2	0.220749949	undirected	NA	NA
PROM1	OTUD6B	0.20539156	undirected	NA	NA
PROM1	TPM4	0.164957108	undirected	NA	NA
PROM1	LTBP3	0.168786984	undirected	NA	NA
AASS	C4BPB	0.170122216	undirected	NA	NA
MPND	STRAP	0.153021666	undirected	NA	NA
MPND	NSUN2	0.183475843	undirected	NA	NA
MPND	YPEL1	0.209889798	undirected	NA	NA
MPND	GARS1	0.205137437	undirected	NA	NA
MPND	CORO1C	0.152582372	undirected	NA	NA
MPND	TARS1	0.183558313	undirected	NA	NA
MPND	MFSD1	0.241616873	undirected	NA	NA
MPND	C4BPB	0.164142071	undirected	NA	NA
MPND	PLAAT4	0.180624116	undirected	NA	NA
MPND	EPRS1	0.18113363	undirected	NA	NA
MPND	ANGPTL2	0.226852805	undirected	NA	NA
MPND	OTUD6B	0.178232241	undirected	NA	NA
MPND	METTL27	0.152152817	undirected	NA	NA
MPND	TPP1	0.158252503	undirected	NA	NA
MPND	NMD3	0.225690943	undirected	NA	NA
STAB1	STRAP	0.155527853	undirected	NA	NA
STAB1	NSUN2	0.191929767	undirected	NA	NA
STAB1	IPO5	0.162734145	undirected	NA	NA
STAB1	YPEL1	0.20360281	undirected	NA	NA
STAB1	GARS1	0.210284335	undirected	NA	NA
STAB1	CORO1C	0.175105164	undirected	NA	NA
STAB1	TARS1	0.173804546	undirected	NA	NA
STAB1	MFSD1	0.254062025	undirected	NA	NA
STAB1	C4BPB	0.156669922	undirected	NA	NA
STAB1	PLAAT4	0.216460514	undirected	NA	NA
STAB1	EPRS1	0.194674153	undirected	NA	NA
STAB1	ANGPTL2	0.244463673	undirected	NA	NA
STAB1	OTUD6B	0.176410305	undirected	NA	NA
STAB1	TPP1	0.17536067	undirected	NA	NA
STAB1	TPM4	0.156071236	undirected	NA	NA
STAB1	NMD3	0.215148461	undirected	NA	NA
ELOA	STRAP	0.284806583	undirected	NA	NA
ELOA	NSUN2	0.344366497	undirected	NA	NA
ELOA	IPO5	0.217487161	undirected	NA	NA
ELOA	YPEL1	0.317224507	undirected	NA	NA
ELOA	WDR91	0.159078271	undirected	NA	NA
ELOA	GARS1	0.267123715	undirected	NA	NA
ELOA	CORO1C	0.268884802	undirected	NA	NA
ELOA	BTN3A3	0.192092197	undirected	NA	NA
ELOA	TARS1	0.314774399	undirected	NA	NA
ELOA	MYL12B	0.283985314	undirected	NA	NA
ELOA	MFSD1	0.332142486	undirected	NA	NA
ELOA	ELL2	0.204052502	undirected	NA	NA
ELOA	C4BPB	0.23057057	undirected	NA	NA
ELOA	MMACHC	0.210582634	undirected	NA	NA
ELOA	PLAAT4	0.215924316	undirected	NA	NA
ELOA	PSAT1	0.23829244	undirected	NA	NA
ELOA	EPRS1	0.289820587	undirected	NA	NA
ELOA	ANGPTL2	0.27058589	undirected	NA	NA
ELOA	MYO7A	0.229455479	undirected	NA	NA
ELOA	ATRAID	0.251437551	undirected	NA	NA
ELOA	TPM1	0.185822316	undirected	NA	NA
ELOA	BCL2L11	0.246159182	undirected	NA	NA
ELOA	OTUD6B	0.240877075	undirected	NA	NA
ELOA	METTL27	0.297331507	undirected	NA	NA
ELOA	TPP1	0.306880726	undirected	NA	NA
ELOA	TPM4	0.229757297	undirected	NA	NA
ELOA	LTBP3	0.229977237	undirected	NA	NA
ELOA	NMD3	0.334678444	undirected	NA	NA
GLRX2	STRAP	0.218170514	undirected	NA	NA
GLRX2	NSUN2	0.201064503	undirected	NA	NA
GLRX2	IPO5	0.256474591	undirected	NA	NA
GLRX2	YPEL1	0.231701768	undirected	NA	NA
GLRX2	WDR91	0.204857577	undirected	NA	NA
GLRX2	GARS1	0.2660542	undirected	NA	NA
GLRX2	CORO1C	0.274354399	undirected	NA	NA
GLRX2	BTN3A3	0.204465315	undirected	NA	NA
GLRX2	TARS1	0.203460816	undirected	NA	NA
GLRX2	MYL12B	0.159572283	undirected	NA	NA
GLRX2	MFSD1	0.270947118	undirected	NA	NA
GLRX2	ELL2	0.243089218	undirected	NA	NA
GLRX2	C4BPB	0.178553039	undirected	NA	NA
GLRX2	MMACHC	0.236423577	undirected	NA	NA
GLRX2	PLAAT4	0.283984435	undirected	NA	NA
GLRX2	PSAT1	0.250846009	undirected	NA	NA
GLRX2	EPRS1	0.238705572	undirected	NA	NA
GLRX2	ANGPTL2	0.255859809	undirected	NA	NA
GLRX2	MYO7A	0.194878739	undirected	NA	NA
GLRX2	TPM1	0.188050881	undirected	NA	NA
GLRX2	CDH11	0.250197441	undirected	NA	NA
GLRX2	BCL2L11	0.188451917	undirected	NA	NA
GLRX2	OTUD6B	0.210057478	undirected	NA	NA
GLRX2	TPP1	0.239519426	undirected	NA	NA
GLRX2	TPM4	0.23815292	undirected	NA	NA
GLRX2	LTBP3	0.187491035	undirected	NA	NA
GLRX2	NMD3	0.209655104	undirected	NA	NA
STRAP	NSUN2	0.415359155	undirected	NA	NA
STRAP	IPO5	0.332671252	undirected	NA	NA
STRAP	YPEL1	0.364189167	undirected	NA	NA
STRAP	WDR91	0.27989682	undirected	NA	NA
STRAP	GARS1	0.323149605	undirected	NA	NA
STRAP	CORO1C	0.400181776	undirected	NA	NA
STRAP	BTN3A3	0.317847926	undirected	NA	NA
STRAP	TARS1	0.382392711	undirected	NA	NA
STRAP	MYL12B	0.370143248	undirected	NA	NA
STRAP	MFSD1	0.373404588	undirected	NA	NA
STRAP	ELL2	0.320149368	undirected	NA	NA
STRAP	C4BPB	0.228319665	undirected	NA	NA
STRAP	MMACHC	0.311838159	undirected	NA	NA
STRAP	PLAAT4	0.260185091	undirected	NA	NA
STRAP	PSAT1	0.365624426	undirected	NA	NA
STRAP	EPRS1	0.383762637	undirected	NA	NA
STRAP	ANGPTL2	0.288455111	undirected	NA	NA
STRAP	MYO7A	0.329840232	undirected	NA	NA
STRAP	ATRAID	0.253490457	undirected	NA	NA
STRAP	TPM1	0.318836644	undirected	NA	NA
STRAP	CDH11	0.270775802	undirected	NA	NA
STRAP	BCL2L11	0.350789736	undirected	NA	NA
STRAP	OTUD6B	0.269645085	undirected	NA	NA
STRAP	METTL27	0.337889024	undirected	NA	NA
STRAP	TPP1	0.427099318	undirected	NA	NA
STRAP	TPM4	0.342872775	undirected	NA	NA
STRAP	LTBP3	0.301475579	undirected	NA	NA
STRAP	NMD3	0.379364993	undirected	NA	NA
BTN3A1	NSUN2	0.317098624	undirected	NA	NA
BTN3A1	IPO5	0.359019629	undirected	NA	NA
BTN3A1	YPEL1	0.267494925	undirected	NA	NA
BTN3A1	WDR91	0.230141658	undirected	NA	NA
BTN3A1	GARS1	0.262839552	undirected	NA	NA
BTN3A1	CORO1C	0.393209379	undirected	NA	NA
BTN3A1	BTN3A3	0.341433382	undirected	NA	NA
BTN3A1	TARS1	0.26246768	undirected	NA	NA
BTN3A1	MYL12B	0.275576024	undirected	NA	NA
BTN3A1	MFSD1	0.309472751	undirected	NA	NA
BTN3A1	ELL2	0.363332016	undirected	NA	NA
BTN3A1	C4BPB	0.154795919	undirected	NA	NA
BTN3A1	MMACHC	0.264064178	undirected	NA	NA
BTN3A1	PLAAT4	0.304134779	undirected	NA	NA
BTN3A1	PSAT1	0.310813413	undirected	NA	NA
BTN3A1	EPRS1	0.292888058	undirected	NA	NA
BTN3A1	ANGPTL2	0.248922233	undirected	NA	NA
BTN3A1	MYO7A	0.359311883	undirected	NA	NA
BTN3A1	TPM1	0.290247678	undirected	NA	NA
BTN3A1	CDH11	0.22443903	undirected	NA	NA
BTN3A1	BCL2L11	0.276859402	undirected	NA	NA
BTN3A1	OTUD6B	0.189302001	undirected	NA	NA
BTN3A1	METTL27	0.18995868899999999	undirected	NA	NA
BTN3A1	TPP1	0.37296873	undirected	NA	NA
BTN3A1	TPM4	0.358075555	undirected	NA	NA
BTN3A1	LTBP3	0.279839308	undirected	NA	NA
BTN3A1	NMD3	0.247112986	undirected	NA	NA
NSUN2	IPO5	0.330373009	undirected	NA	NA
NSUN2	YPEL1	0.375347708	undirected	NA	NA
NSUN2	WDR91	0.236989969	undirected	NA	NA
NSUN2	GARS1	0.328800907	undirected	NA	NA
NSUN2	CORO1C	0.371297334	undirected	NA	NA
NSUN2	BTN3A3	0.334011861	undirected	NA	NA
NSUN2	TARS1	0.418863661	undirected	NA	NA
NSUN2	MYL12B	0.406298288	undirected	NA	NA
NSUN2	MFSD1	0.370279496	undirected	NA	NA
NSUN2	ELL2	0.326797413	undirected	NA	NA
NSUN2	C4BPB	0.231739086	undirected	NA	NA
NSUN2	MMACHC	0.298751425	undirected	NA	NA
NSUN2	PLAAT4	0.272334032	undirected	NA	NA
NSUN2	PSAT1	0.366093297	undirected	NA	NA
NSUN2	EPRS1	0.384538229	undirected	NA	NA
NSUN2	ANGPTL2	0.298724555	undirected	NA	NA
NSUN2	MYO7A	0.367730025	undirected	NA	NA
NSUN2	ATRAID	0.290109205	undirected	NA	NA
NSUN2	TPM1	0.304018125	undirected	NA	NA
NSUN2	CDH11	0.229040173	undirected	NA	NA
NSUN2	BCL2L11	0.362970639	undirected	NA	NA
NSUN2	OTUD6B	0.263633033	undirected	NA	NA
NSUN2	METTL27	0.383586118	undirected	NA	NA
NSUN2	TPP1	0.413084207	undirected	NA	NA
NSUN2	TPM4	0.350047849	undirected	NA	NA
NSUN2	LTBP3	0.321965374	undirected	NA	NA
NSUN2	NMD3	0.405420373	undirected	NA	NA
TLL1	IPO5	0.399608548	undirected	NA	NA
TLL1	YPEL1	0.239676891	undirected	NA	NA
TLL1	WDR91	0.263791969	undirected	NA	NA
TLL1	GARS1	0.281993793	undirected	NA	NA
